@tim1995f-text	@tim1995f	00:00:00.789	0.789	00:00:05.101	5.101	00:00:04.312	4.312	как ты относишься к негативным комментариям
@tim1995f-text	@tim1995f	00:00:34.494	34.494	00:00:34.733	34.733	00:00:00.239	0.239	ага
@tim1995f-text	@tim1995f	00:01:06.522	66.522	00:01:06.916	66.916	00:00:00.394	0.394	ага
@tim1995f-text	@tim1995f	00:01:07.503	67.503	00:01:10.411	70.411	00:00:02.908	2.908	а ты сама что чувствуешь когда читаешь такие 
@tim1995f-text	@tim1995f	00:01:51.605	111.605	00:01:53.816	113.816	00:00:02.211	2.211	они будут в комментариях вместе с нами
@tim1995f-text	@tim1995f	00:02:06.798	126.798	00:02:07.220	127.22	00:00:00.422	0.422	угу
@tim1995f-text	@tim1995f	00:02:13.522	133.522	00:02:13.815	133.815	00:00:00.293	0.293	да
@tim1995f-text	@tim1995f	00:02:30.109	150.109	00:02:30.512	150.512	00:00:00.403	0.403	угу
@tim1995f-text	@tim1995f	00:02:32.210	152.21	00:02:33.219	153.219	00:00:01.009	1.009	да правда
@tim1995f-text	@tim1995f	00:02:33.311	153.311	00:02:36.917	156.917	00:00:03.606	3.606	но ты при этом не пишешь же комментарии другим людям
@tim1995f-text	@tim1995f	00:02:55.806	175.806	00:03:01.302	181.302	00:00:05.496	5.496	ну а как избежать стеснения и комплексов когда тебе пишут тонны я знаю ты недавно
@tim1995f-text	@tim1995f	00:03:01.807	181.807	00:03:03.513	183.513	00:00:01.706	1.706	друзья стоматологи пожалуйста
@tim1995f-text	@tim1995f	00:03:04.715	184.715	00:03:07.219	187.219	00:00:02.504	2.504	что у меня там не тот прикус и зубы и так далее
@tim1995f-text	@tim1995f	00:03:28.623	208.623	00:03:28.925	208.925	00:00:00.302	0.302	угу
@tim1995f-text	@tim1995f	00:03:39.311	219.311	00:03:39.604	219.604	00:00:00.293	0.293	ага
@tim1995f-text	@tim1995f	00:03:47.815	227.815	00:03:48.815	228.815	00:00:01.000	1.0	а как это связано 
@tim1995f-text	@tim1995f	00:03:48.908	228.908	00:03:49.623	229.623	00:00:00.715	0.715	с прикусом?
@tim1995f-text	@tim1995f	00:03:51.815	231.815	00:03:52.201	232.201	00:00:00.386	0.386	так
@tim1995f-text	@tim1995f	00:03:56.715	236.715	00:03:57.017	237.017	00:00:00.302	0.302	ааа
@tim1995f-text	@tim1995f	00:03:57.632	237.632	00:03:59.724	239.724	00:00:02.092	2.092	а вохможно если ты исправишь прикус то изменится твой ...?
@tim1995f-text	@tim1995f	00:04:00.173	240.173	00:04:00.412	240.412	00:00:00.239	0.239	нет?
@tim1995f-text	@tim1995f	00:04:03.412	243.412	00:04:05.412	245.412	00:00:02.000	2.0	но ты просто не стремишься к этому потому что
@tim1995f-text	@tim1995f	00:04:06.109	246.109	00:04:06.825	246.825	00:00:00.716	0.716	потому что что?
@tim1995f-text	@tim1995f	00:04:08.412	248.412	00:04:08.825	248.825	00:00:00.413	0.413	угу
@tim1995f-text	@tim1995f	00:04:51.292	291.292	00:04:51.705	291.705	00:00:00.413	0.413	блин
